artist_name,title,release,song_id,duration,key,key_confidence,loudness,mode,mode_confidence,tempo,time_signature,time_signature_confidence,year
Willie Bobo,Spanish Grease,Willie Bobo's Finest Hour,SOBZBAZ12A6D4F8742,168.25424,8,0.812,-9.616,1,0.736,127.025,4,0.792,1997.0
Faye Adams,Crazy Mixed Up World,Shake A Hand,SOVYKGO12AB0187199,156.39465,8,0.569,-18.051,1,0.495,95.957,3,0.689,1961.0
Terry Callier,Do You Finally Need A Friend,Occasional Rain,SOGNCJP12A58A80271,342.56934,6,0.381,-11.939,1,0.538,110.189,3,0.353,1972.0
John Wesley,The Emperor Falls,The Emperor Falls,SOLLHMX12AB01846DC,484.62322,4,0.283,-15.335,0,0.363,138.007,4,0.893,
The Shangri-Las,Twist and Shout,Best of The Shangri-Las,SOYTPEP12AB0180E7B,164.80608,10,0.254,-10.922,1,0.042,130.1,1,0.0,1964.0
Billie Jo Spears,It Makes No Difference Now,20 Of Her Best,SOGXHEG12AB018653E,133.32853,4,0.384,-9.983,1,0.402,160.839,1,0.0,1992.0
Mike Jones (Featuring CJ_ Mello & Lil' Bran),Laws Patrolling (Album Version),Who Is Mike Jones?,SOOLYAZ12A6701F4A6,173.66159,7,0.299,-7.762,1,0.464,41.993,1,0.0,
Sierra Maestra,¿Dónde va Chichi?,Tibiri Tabara,SOGOSOV12AF72A285E,313.12934,9,0.724,-9.512,1,0.364,189.646,3,0.674,1997.0
Butthole Surfers,"Barking Dogs (From ""Piouhgd"")",Piouhgd + Widowermaker!,SOJXVAH12A8C139700,450.84689,4,0.726,-9.063,0,0.367,130.586,4,0.42,
Despina Vandi,OUTE ENA EFHARISTO,Profities,SOVXMTN12A8C135A18,303.09832,8,0.532,-8.879,0,0.516,128.292,4,0.83,
Javier Navarrete,Midnight Swim,Cracks,SORSECL12AB0182267,128.83546,3,0.0,-17.699,1,0.251,90.932,3,1.0,
Jacob Young,In A Subtle Way,Pieces Of Time,SOOGFBZ12AC3DF7FF2,456.30649,1,0.611,-19.478,1,0.546,89.667,4,0.747,
Scarlet's Remains,Spin,The Palest Grey,SOMSBGZ12AB018C4CB,198.73914,7,0.673,-7.469,1,0.579,115.061,4,0.731,2007.0
The Suicide Machines,Burning In The Aftermath,A Match & Some Gasoline,SONYRZV12AB018AF70,95.68608,2,0.421,-2.022,1,0.589,115.887,4,0.744,2003.0
The Rolling Stones,Angie (1993 Digital Remaster),Jump Back - The Best Of The Rolling Stones_ '71-'93,SONQBUB12A6D4F8ED0,271.49016,9,0.301,-10.358,0,0.392,139.333,1,0.0,
Roberto Torres,Sabor Guajiro,Lo Mejor con La Orq. Broadway,SOHGKJW12AC468A8BD,226.66404,0,0.863,-12.716,1,0.671,117.271,4,0.453,
Loudon Wainwright III,Human Cannonball,Grown Man,SOINBCU12A6D4F94C0,190.48444,3,0.544,-15.663,1,0.596,102.428,4,0.496,1995.0
R.L. Burnside,Glory Be,A Bothered Mind,SOTWVQT12A58A79650,277.78567,2,0.0,-6.944,1,0.0,89.984,4,0.0,2004.0
Stevie Ray Vaughan,Crossfire,Greatest Hits,SOTSEJY12AB0180F56,248.78975,1,0.754,-7.805,1,0.597,116.721,4,0.522,1992.0
John Hammond,I Can't Be Satisfied,Bluesman,SOTSETT12AB01863B8,195.3171,7,0.98,-10.7,1,0.753,123.142,4,0.678,2002.0
Casiotone For The Painfully Alone,Nashville Parthenon,Etiquette,SOTUNMH12A6D4FA3E6,175.72526,0,0.522,-10.93,1,0.474,141.919,4,0.445,2006.0
Ec8or,Cocain Ducks,Ec8or,SOEPPKB12AB018418B,217.23383,10,0.005,-9.493,0,0.305,95.596,4,1.0,1995.0
The New York Dolls,Human Being,Too Much Too Soon,SOGKIWV12A6D4F86C4,344.05832,11,0.425,-9.253,1,0.486,154.953,1,0.0,1974.0
Eliane Elias,The More I See You,Bossa Nova Stories,SOPHYIS12AAF3B35A3,251.42812,7,0.391,-12.009,1,0.319,86.091,5,0.551,2009.0
Lost Boyz,Certain Things We Do,Love_ Peace & Nappiness,SOFHBAR12A6701D0FE,269.7922,7,0.715,-11.043,1,0.614,90.218,4,1.0,1997.0
The Germs,Forming,Germicide,SOCPRKM12AB018A2FD,206.05342,11,0.641,-11.506,0,0.597,133.144,1,0.0,1977.0
Yamandu Costa,Mafuá,Mafuá,SOFGHAM12AB0186412,190.04036,2,0.105,-14.179,1,0.433,205.317,4,0.0,
Chris Rea,Driving Home For Christmas,The Road To Hell Part 2,SODHVES12A6701CE6B,241.162,9,0.222,-8.531,1,0.403,180.149,4,0.0,1986.0
Perrey And Kingsley,Spooks In Space,Vanguard Visionaries,SOXIATP12AAF3B2184,122.64444,0,0.61,-8.541,0,0.489,102.538,4,0.869,1966.0
Eurythmics,Tous Les Garçons Et Les Filles,Be Yourself Tonight,SOGNQWU12A8AE4868F,207.0722,0,0.442,-6.629,1,0.371,84.164,4,0.853,1985.0
Francis Dunnery,Too Much Saturn,Hometown 2001,SOYQOFI12A6D4F76E1,300.79955,7,0.666,-13.33,1,0.658,124.175,4,0.698,1995.0
John Cale,Movement 4 [from Kiss] (Album Version),Eat / Kiss: Music For The Films By Andy Warhol,SOVOLGY12A6D4F822B,228.46649,7,0.458,-12.412,1,0.602,137.004,1,0.0,1997.0
Suzanne Ciani,Stream,The Ultimate Most Relaxing New Age Piano in the Universe,SOMZCVH12AB0182B8E,239.59465,7,0.527,-21.552,1,0.613,106.33,4,0.526,
Vickie Winans,Make Me Over,Classic Gold: Best of All,SONXJBL12AAF3B2C0C,228.93669,11,0.172,-8.686,0,0.369,107.961,4,1.0,
The Berzerker,Deform (live),The Berzerker,SOYWZTU12AB0180E26,165.61587,1,0.108,-6.222,1,0.256,174.287,3,0.132,2000.0
Kings Of Leon,Wicker Chair,Holy Roller Novocaine,SOLGHDZ12AB0183B11,187.92444,0,0.612,-5.907,1,0.735,116.823,4,0.347,2003.0
Edith Lefel,An ti chans',Jeux de dames_ vol. 1 (réalisation Ronald Rubinel),SOTNTNJ12AAA15FBD6,276.50567,0,0.29,-4.638,1,0.389,101.972,4,1.0,
Taras,I Will Love Again (JJ's Club Radio),I Will Love Again,SOXZXXV12AAF3B3A67,200.25424,11,0.056,-5.884,0,0.283,127.97,4,0.0,
NOFX,Stickin In My Eye,White Trash ......,SOPIKEG12A58291636,144.50893,4,0.093,-7.787,0,0.423,152.622,4,0.358,1992.0
Murskahumppa,Ota kiinni,Murskapunkkia,SOIRNBO12AC468D207,285.17832,7,0.379,-8.488,1,0.401,110.787,3,1.0,
Soda Stereo,Entre Caníbales,Canción Animal,SOSBDSF12AB0189007,246.69995,7,0.161,-9.603,1,0.205,112.903,4,1.0,1990.0
Bruce Rowland,Rosemary Recalls,The Man from Snowy River,SOIJXXM12A8C1416D6,84.03546,7,0.469,-26.266,1,0.591,115.642,4,0.44,1985.0
Xcultures,Sudanese Dance,One World One People,SOHMMMC12AB0181C42,273.52771,1,0.652,-6.305,1,0.694,125.013,4,1.0,2000.0
White Heart,Where The Thunder Roars (Tales Of Wonder Album Version),Tales Of Wonder,SOVJXVJ12A8C13517D,298.84036,5,0.596,-9.998,1,0.567,113.277,4,0.872,
Heavy D / McGruff,Wanna Be A Player,Waterbed Hev,SOFZCTA12AB0188D8F,161.38404,5,0.665,-9.161,0,0.606,96.979,4,0.895,1997.0
Van Halen,Panama (Remastered Album Version),The Best Of Both Worlds,SOLRYQR12A670215BF,209.29261,8,0.455,-4.865,1,0.48,140.995,1,0.41,
Black Eyed Peas,Let's Get It Started,Total Workout Running 102 - 135 - 84bpm Ideal For Jogging_ Running_ Treadmill & General Fitness,SOCHRXB12A8AE48069,229.61587,11,0.205,-4.882,0,0.332,105.206,4,1.0,2004.0
Nine Inch Nails,Metal,Things Falling Apart,SOKBBXO12A6701DEA0,426.89261,0,0.05,-12.951,0,0.395,63.017,4,0.378,2000.0
Nick Cave & The Bad Seeds,She Fell Away (2009 Digital Remaster),Your Funeral... My Trial (2009 Digital Remaster),SOWHYUG12A58A77FAB,269.26975,9,0.052,-11.751,0,0.142,144.603,4,0.0,
Nadine Renee,Next Time,Oasis of Love,SOYSTDI12A6D4F6500,249.41669,2,0.883,-6.693,1,0.728,167.92,4,0.75,
Lesley Gore,It's My Party,60's Triple set,SOOOROX12A6D4F8400,136.48934,9,0.386,-9.091,1,0.632,129.122,1,0.0,1963.0
Smartbomb,Complicate It,Yeah.  Well_ Anyway....,SONSPZE12AB01819CE,233.27302,0,0.53,-2.658,1,0.501,132.022,4,0.782,2001.0
Suburbs,Monde De Fou,Un Titre de Toune,SOHWGFU12AB017B036,187.24526,1,0.842,-4.42,1,0.721,183.92,1,0.063,2005.0
Emperor,Opus a Satana (Part 2),Live Inferno,SOQQVQJ12AB0185192,72.61995,9,0.0,-11.051,0,0.0,89.867,4,0.476,
Julien Clerc,This Melody (Live),Vendredi 13 - 1981,SODRHHD12AB0189F2A,272.63955,2,0.633,-9.97,1,0.605,119.896,5,0.921,
Glen Campbell,I'm Gone This Time,Unconditional Love,SOQGFVO12A8C13C8C3,142.75873,1,0.62,-11.335,0,0.814,137.29,4,0.0,
T.G. Sheppard,You Feel Good All Over,The Very Best Of,SORABMD12A8C136672,194.11546,5,1.0,-15.581,1,0.886,82.343,1,0.387,2002.0
Slim Whitman,Indian Love Call,Country Lovers. Vol. 3,SOTUBVH12AB018D2EC,195.91791,3,0.883,-11.98,1,0.735,91.487,4,0.0,1990.0
Savage Garden,You Can Still Be Free,Affirmation,SOMQAGT12A8C132DB4,118.33424,9,0.0,-11.215,0,0.0,84.69,5,0.678,1999.0
Queens Of The Stone Age,I Never Came,Lullabies To Paralyze,SOKLLOH12A67020F2C,288.41751,2,0.08,-8.165,1,0.665,115.606,4,0.0,2005.0
Hank Penny & The Lincoln Penny Orchestra,Dixie,It's War Again,SONRLQH12AB017C232,123.21914,7,0.278,-12.69,0,0.482,126.523,1,0.0,
Inspiral Carpets,Commercial Reign,The Singles,SODDZAD12A6701DC4C,283.76771,2,0.823,-8.7,1,0.69,113.677,4,1.0,1990.0
Borialis,Hourglass,What You Thought You Heard,SORENXV12A6701F61F,239.3073,2,0.569,-5.758,1,0.601,86.938,4,0.222,
The Dirty Skirts,Wake,Daddy Don't Disco,SOYMMDY12AB01825B2,206.75873,0,0.613,-4.907,1,0.656,141.936,4,0.634,
Flor Silvestre,Caricia Y Herida,15 Exitos Vol. 2 Flor Silvestre,SOJWQIP12A6D4F710A,134.81751,11,0.847,-8.133,1,0.646,106.049,1,0.0,
Bézu,Le tortillard,Le top du père Nöel,SOOVOKS12AB017EE57,285.64853,8,0.508,-9.093,1,0.343,126.88,4,0.0,
Redman,WKYA (drop),Malpractice,SORWHWY12A6702038E,124.18567,1,0.074,-10.296,0,0.492,85.008,5,1.0,2001.0
Solistiyhtye Suomi,Teräslintu,20 Suosikkia / Rilluttele yö,SOGYYLE12A8C13E5EA,134.08608,4,0.718,-12.839,0,0.674,133.699,1,0.0,
Eddie Cantor,Now's The Time To Fall In Love,The Fabulous Eddie Cantor,SOITUXQ12AB0183AE9,155.61098,11,0.599,-13.71,1,0.517,118.975,1,0.003,
Schizoid,Grim Prospects (Gross Prospects - Bad Trip Remix),Grim Prospects Remixes - Grim Prospects Will Never End,SOTWEZZ12A8C142B60,275.40853,9,0.376,-2.119,1,0.334,102.408,4,0.395,
Kai Winding,Mangos,The Incredible Kai Winding Trombones,SOUVRGZ12A58A77F90,223.4771,0,0.0,-14.438,1,0.138,112.006,4,0.844,1961.0
Sonny Simmons,A Distant Voice,Staying on the Watch,SOBLTSM12A6D4F9EEA,443.24526,1,0.0,-13.002,1,0.051,45.527,4,0.0,
Mira,Openbare Weg,Openbare Weg,SOUQVUD12A8C142DCE,177.81506,4,0.695,-12.004,1,0.673,85.621,4,0.612,2006.0
Citizen Kaned,President Johnson,Tip World Singles 2000,SOCRPDR12AB0185B75,385.33179,8,0.822,-8.37,0,0.503,108.061,4,1.0,2000.0
The Brooklyn Tabernacle Choir,Lead Me Lord,Praise Him...Live!,SOXVBVL12AF72A600C,324.44036,7,0.558,-11.829,1,0.718,216.195,5,1.0,1995.0
Ellen McIlwaine,Spontanous Combustion,Spontanous Combustion,SOIQHDR12AB01896C8,275.12118,7,0.699,-6.29,1,0.527,132.428,4,0.281,
Vince Guaraldi / Bola Sete,Choro,From All Sides,SODLSHA12AAF3B29F2,294.66077,5,0.238,-15.761,0,0.07,168.307,4,0.0,
Maurice Chevalier,Ma Louise,Maurice Chevalier  The Essential Collection Vol 1,SOAGHMH12AB0180285,193.20118,0,0.371,-27.433,1,0.484,140.956,7,0.866,
Carl Cox Vs Yousef,I Want You (Forever),Dave Pearce Best of the Dance Years 1988 - 1992,SORAVUP12AB018556E,357.82485,1,0.485,-5.701,1,0.427,130.016,5,1.0,1991.0
Organized Konfusion,Hate,The Equinox,SOFXNQP12AB0184F1A,198.3473,11,0.306,-8.709,0,0.22,175.769,4,0.7,1997.0
Martina McBride,I Can't Stop Loving You,Timeless,SOGQTRZ12A8C13C8B0,261.95546,7,0.96,-13.627,1,0.634,100.194,3,1.0,2005.0
Horace Andy,Thank You Lord,Feel Good All Over: Anthology 1970-1976,SOBHVZQ12AC9618285,176.27383,2,0.171,-11.479,1,0.239,151.911,4,0.231,1985.0
Nazz,How Can You Call That Beautiful (Stewkey Vocal),13th And Pine,SOYPBCY12AB0181EF3,220.89098,9,0.606,-6.302,1,0.475,119.691,4,0.491,
Tyrone Davis,Cheatin' In The Next Room,Call Tyrone,SOWRLSY12AC4687694,235.91138,10,0.46,-10.466,1,0.379,161.976,4,0.696,
Hot Tuna,Candy Man,Final Vinyl,SOOGQWR12A8C142505,239.59465,0,0.601,-9.275,1,0.563,172.398,1,0.0,1971.0
Richard Burton,I See The Boys Of Summer,Fifteen Poems By Dylan Thomas,SOJDYQY12AB0188C97,171.49342,2,0.45,-37.398,1,0.685,109.823,3,0.659,
Rory Block,Three Is a Crowd,The Early Tapes 1975-1976,SOBHQUF12AB018B03E,266.05669,1,0.936,-13.836,1,0.763,90.101,1,0.0,
Boyz II Men,On Bended Knee,Legacy,SOFRAZJ12A8C143CDB,329.27302,8,0.497,-7.103,1,0.491,116.473,4,1.0,1994.0
Howard Armstrong,My Four Reasons,Louie Bluie Film Soundtrack,SONNDHT12A8C13F20B,198.922,9,0.0,-13.495,0,0.094,126.821,4,0.0,
Donny Hathaway,Little Girl (LP Version),Donny Hathaway,SOYZOXW12A8C13E195,283.21914,2,0.499,-15.144,1,0.652,111.191,3,0.851,1971.0
Miguel Gallardo,Eternamente Amame,Canciones De Amor De Miguel Gallardo,SOSGJTX12AB0181F7C,238.68036,5,0.458,-12.991,1,0.542,125.508,4,0.462,
Les Ogres De Barback,Niev nietch nievitch,Irfan_ le héros,SOBQBWP12AB018611B,254.06649,4,0.446,-6.01,0,0.383,137.888,1,0.0,1999.0
DJ X-Change featuring DJ Joey A,Come Over,What up Detroit,SODULLV12AB017FA09,184.31955,6,0.0,-5.58,0,0.0,150.012,4,0.0,
Morel,Blue Taxi,Peterbilt Angel,SOYAGJM12A8C13DCCE,311.40526,10,0.685,-4.313,1,0.611,108.367,4,0.36,
Tony Joe White,I Want Love (Tween You & Me) (Album Version),Homemade Ice-Cream,SORXUZZ12A8AE4798A,162.53342,2,0.243,-17.285,1,0.297,173.482,4,0.804,
Wolfmother,White Feather,White Feather,SOCHXAE12AF72A25D6,212.37506,4,0.372,-5.931,0,0.207,110.745,4,1.0,2009.0
The Roches,Christlike Roche,Can We Go Home Now,SOCRHCQ12A58A7C8C6,338.33751,2,0.626,-14.248,0,0.575,130.027,4,0.509,1995.0
Bob Margolin,You Rascal You,In North Carolina,SOSEJIQ12AB017E7EB,126.51057,11,0.228,-12.651,1,0.374,110.168,4,0.92,
Thomas Battenstein,Sympathy,Wintertime,SOMXWXQ12AC3DFA002,205.58322,9,0.825,-16.056,0,0.836,97.976,3,1.0,
Jupiter Rising,They Say (Album),Electropop,SOGMXBW12A6D4FB8D7,193.4624,0,0.373,-5.913,0,0.548,119.979,4,1.0,2007.0
Dharma Bums,Simon's Folly,DUMB: 4-track cassette recordings (1987),SOOPUTF12AB018DFAA,127.4771,6,0.81,-5.541,1,0.864,156.968,1,0.0,
Saafir,Crawl Before You Ball (Album Version),The Hit List,SOFDTRZ12AB018DD11,234.762,5,0.172,-6.019,1,0.026,188.886,4,1.0,1999.0
The Verve Pipe,Medicate Myself,Underneath,SOOGNJP12A8C1381AD,292.8322,9,0.295,-4.953,1,0.196,133.306,4,0.338,2001.0
Bob Neuwirth,Biding Her Time,99 Monkeys,SOFUBCP12A8C13D5EF,241.10975,4,0.965,-18.114,1,0.744,152.267,3,1.0,1990.0
Marvin Sapp,More And More  (LP Version),Nothing Else Matters,SOVZBDR12A6702012E,270.68036,1,0.33,-11.061,1,0.526,166.275,4,0.845,
James Hunter,Cowboy Ways,A Tribute to The American Horse,SOPWKSS12AC468E659,188.73424,2,0.862,-7.04,1,1.0,114.971,4,0.0,
Nelson Ned,Brasas Vivas,Mis Momentos,SOCCQIQ12A8C13C76B,211.80036,9,0.519,-15.358,0,0.525,144.651,4,0.142,
Mish Mash,Kolomeyke,Mish Mash_ Le Blues European: Musique Slave Et Klezmer,SODBMZD12A8C134232,254.32771,2,0.64,-11.213,1,0.692,152.005,1,0.605,
Cama,In This Life,In this Life,SOBUWPY12A8C1446C0,210.36363,1,0.645,-5.904,0,0.683,155.074,1,0.0,2009.0
Maxi Priest,Groovin' In The Midnight,Best Of Maxi Priest,SORWXUP12A58A79E65,301.81832,10,0.683,-8.095,0,0.549,61.971,1,0.397,1991.0
Porcupine Tree,Waiting,Signify (Special Edition),SOJEVZW12A8C133988,416.80934,6,0.644,-7.982,0,0.607,124.04,5,0.82,1997.0
Ragheb Alama,A'chek Ouyounik (2009 Digital Remaster),Bravo Alayki Rare recording,SOOODKC12AB018462F,413.36118,7,0.056,-8.804,0,0.306,191.196,4,0.0,
Foo Fighters,Hell,In Your Honor,SODOLVO12B0B80B2F4,117.002,7,0.458,-5.699,1,0.44,152.127,4,0.651,2005.0
Shakira Featuring Wyclef Jean,Hips Don't Lie (featuring Wyclef Jean),Essential R&B Hit Selection,SOEHWGF12A6D4F8B2B,217.36444,10,0.805,-5.152,0,0.688,100.023,4,0.937,
The Avengers,Juoksuhauta-twist (Elämä juoksuhaudoissa),20 Suosikkia / Rautalankaklassikot / Kolme kitaraa,SOOZLTC12A6D4FBE91,122.72281,10,0.0,-9.965,1,0.149,192.688,4,0.671,
Robben Ford,I Got Over It (Album Version),Talk To Your Daughter,SOOSYMY12AB01888CD,203.98975,11,0.236,-11.976,0,0.384,154.322,4,0.0,1988.0
Brazilian Tropical Orchestra,One Less Bell To Answer,American Songbook - Bacharach,SOPBKEB12A6D4FD777,192.44363,5,0.084,-10.229,1,0.405,236.006,4,0.761,
Gil Semedo,Festa,Nha Vitória,SOEWQYW12AB0183FDE,285.36118,11,0.321,-6.284,1,0.421,150.666,5,1.0,
Soda Stereo,Te Hacen Falta Vitaminas,Gira Me Verás Volver,SOFBQIA12AB0182219,225.12281,11,0.0,-3.818,0,0.036,175.421,1,0.0,1984.0
Xmilk,Sense And Trick,Scarcity,SOHDDHR12AB0183552,123.66322,9,0.138,-4.633,0,0.452,104.153,4,0.072,
Dolce; Oscar G.,Fire (Oscar G Space Vocal Mix),Fire,SONWQQX12AC3DF6762,525.16526,11,0.386,-5.602,0,0.417,127.278,4,0.22,
Britt Nicole,Hanging On (Medium Key Performance Track Without Background Vocals),Hanging On (Premiere Performance Plus Track),SOGXFIF12A58A78CC4,204.06812,6,0.606,-5.157,1,0.514,160.165,4,1.0,
Schizoid,Grim Prospects (Version 2 Remix),Grim Prospects Remixes - Prospects Are Getting Grimmer,SOIPNSZ12A8C144128,166.00771,5,0.441,-1.925,1,0.372,86.091,3,1.0,
Toni Braxton Featuring Shaggy,Christmas In Jamaica,Snowflakes,SOEXSIN12A8C133B0A,219.01016,0,0.782,-5.21,1,0.662,149.94,4,0.128,2001.0
Perrey And Kingsley,Gossippo Perpetuo,The Out Sound From Way In!,SOTSMNJ12AB018365E,127.9473,0,0.655,-12.717,1,0.525,135.78,4,0.087,2001.0
Sven Tasnadi,2190 Dias Contigo,El Fuego De Dentro,SOLGRUN12A8C140543,570.90567,7,0.792,-12.28,1,0.646,122.967,4,1.0,
Eddie,No Control,No Control,SOQCHGV12AC4688FC6,230.00771,9,0.858,-9.748,1,0.606,142.024,4,0.966,
Enthroned,The Vitalized Shell,Pentagrammaton,SOXCWTT12AC9075756,240.74404,2,0.735,-4.878,0,0.838,135.535,7,0.583,2010.0
Suzanne Ciani,Mozart,Pianissimo,SOAFIPD12A8C13A261,192.20853,2,0.523,-23.988,1,0.537,139.189,3,0.418,1989.0
Milan Band,Ciao Milan,Milan Milan,SOMJPML12A8C13D74E,152.0322,8,0.656,-9.414,1,0.393,128.598,5,0.197,
Johnny Osbourne,Lend Me Your Chopper,Auralux Reggae Showcase,SOCVDYI12AC4687DDB,215.30077,3,0.445,-9.741,0,0.496,163.445,4,0.015,2004.0
Dolly Parton,Letter To Heaven,Heaven,SOEVGMZ12A8C1421B5,155.21914,7,0.0,-11.965,0,0.181,114.027,3,1.0,1971.0
Rance Allen Group,Heaven is Where The Heart Is,Up Above My Head,SOCGURJ12AB0182AEE,207.12444,7,0.662,-12.779,1,0.756,111.316,1,0.0,
Pearl Jam,Inside Job,Pearl Jam,SOHTWLT12A8C13CFE1,428.56444,4,0.743,-8.403,0,0.727,105.994,3,1.0,2006.0
Natalie Cole,Take A Look  (LP Version),Take A Look,SOVQZYP12A8C144692,185.7824,8,0.015,-13.251,1,0.236,88.489,1,0.249,
Mastodon,The Czar: Usurper/Escape/Martyr/Spiral (Album Version),Crack The Skye,SOHHANU12A58A77C66,654.28853,7,0.539,-5.884,0,0.617,118.433,4,0.802,2009.0
Kiril Valeri,Bulgarian Dream,Behind The Blue,SOTHWPG12AB018C90E,306.72934,11,0.0,-6.929,1,0.232,96.007,4,0.906,
Word,Amalgama,Matumago X Press,SOOQHNV12AB0186CD4,229.51138,9,0.457,-4.198,1,0.398,187.807,4,0.381,
DJ Quik,Born and Raised In Compton,The Best of DJ Quik - Da Finale,SOSGXRU12AAF3B2B07,205.58322,7,0.025,-6.998,0,0.312,181.115,4,0.701,1991.0
Hank Locklin,We're Gonna Go Fishin',RCA Country Legends,SOFRUDU12A8C13A40C,127.05914,2,0.826,-12.772,1,0.936,148.357,4,0.097,
BT,Robbers Kill Cop,LOOK (Original Motion Picture Soundtrack),SONXLQQ12AB0184B54,44.35546,1,0.0,-18.147,0,0.0,136.164,4,0.68,
2-4 Grooves feat. Reki D.,Relax,Relax,SOKPHVH12AB0187460,203.83302,4,0.648,-7.661,0,0.629,126.941,4,1.0,2009.0
The Jordanaires,Sweet By And By,Joy In Our Hearts - The Gospel Side Of The Jordanaires,SOIUGDX12A6D4FDECA,176.50893,5,0.526,-17.308,1,0.595,159.582,3,1.0,
Descendents,Orgofart,Enjoy!,SOAYYDM12AB01817E6,140.66893,6,0.006,-28.347,0,0.127,89.495,4,0.614,1986.0
L.A. Guns,Bitch Is Back,A Nite On The Strip - Live,SORAJXA12A58A7A4C9,201.09016,5,0.608,-2.869,0,0.505,102.259,3,1.0,1988.0
